002095.SZ,20241128,20241202,20241203,20241205
002095.SZ,20241210,20241212,20241213,20241217
002095.SZ,20241218,20241220,20241223,20241225
002095.SZ,20250114,20250116,20250117,20250121
002104.SZ,20240927,20241008,20241009,20241011
002104.SZ,20241106,20241108,20241111,20241113
002104.SZ,20241210,20241212,20241213,20241217
002115.SZ,20240927,20241008,20241009,20241011
002115.SZ,20241111,20241113,20241114,20241118
002115.SZ,20250114,20250116,20250117,20250121
002127.SZ,20240927,20241008,20241009,20241011
002127.SZ,20241107,20241111,20241112,20241114
002127.SZ,20250122,20250124,20250127,20250206
002127.SZ,20250210,20250212,20250213,20250217
002131.SZ,20240927,20241008,20241009,20241011
002131.SZ,20241204,20241206,20241209,20241211
002131.SZ,20241218,20241220,20241223,20241225
002131.SZ,20250114,20250116,20250117,20250121
002145.SZ,20240927,20241008,20241009,20241011
002145.SZ,20241107,20241111,20241112,20241114
002145.SZ,20241119,20241121,20241122,20241126
002148.SZ,20240927,20241008,20241009,20241011
002148.SZ,20241212,20241216,20241217,20241219
002148.SZ,20250206,20250210,20250211,20250213
002151.SZ,20241107,20241111,20241112,20241114
002151.SZ,20241119,20241121,20241122,20241126
002151.SZ,20241127,20241129,20241202,20241204
002151.SZ,20241210,20241212,20241213,20241217
002157.SZ,20241106,20241108,20241111,20241113
002157.SZ,20241126,20241128,20241129,20241203
002157.SZ,20241210,20241212,20241213,20241217
002169.SZ,20240927,20241008,20241009,20241011
002169.SZ,20241107,20241111,20241112,20241114
002169.SZ,20241119,20241121,20241122,20241126
002169.SZ,20250207,20250211,20250212,20250214
002172.SZ,20240927,20241008,20241009,20241011
002172.SZ,20250116,20250120,20250121,20250123
002172.SZ,20250206,20250210,20250211,20250213
002184.SZ,20240927,20241008,20241009,20241011
002184.SZ,20241119,20241121,20241122,20241126
002184.SZ,20241209,20241211,20241212,20241216
002184.SZ,20250107,20250109,20250110,20250114
002184.SZ,20250120,20250122,20250123,20250127
002186.SZ,20241105,20241107,20241108,20241112
002186.SZ,20241210,20241212,20241213,20241217
002186.SZ,20250116,20250120,20250121,20250123
002189.SZ,20241028,20241030,20241031,20241104
002189.SZ,20241108,20241112,20241113,20241115
002189.SZ,20241119,20241121,20241122,20241126
002193.SZ,20240927,20241008,20241009,20241011
002193.SZ,20241111,20241113,20241114,20241118
002193.SZ,20241205,20241209,20241210,20241212
002195.SZ,20240927,20241008,20241009,20241011
002195.SZ,20241107,20241111,20241112,20241114
